Airfoil,CL,CD,CM,CL/CD
Eiffel 430 (Lachassgne),[1.04961751],[0.00729595],[-0.06015355],[143.86307343]
TsAGI R-3a (12%),[0.85778936],[0.0059642],[-0.0287523],[143.8229717]
EPPLER 338 AIRFOIL,[0.79665597],[0.00554381],[-0.01633786],[143.70194041]
Fage & Collins 4,[1.21010762],[0.00842168],[-0.1049612],[143.68959751]
GOE 681 AIRFOIL,[0.98448377],[0.00685399],[-0.07623169],[143.63653313]
GOE 255 (MVA CA.6) AIRFOIL,[1.14264377],[0.00797095],[-0.1230383],[143.35104078]
HQ 3.5/12 AIRFOIL,[1.02256208],[0.00714126],[-0.1019113],[143.19078293]
RAF-48 AIRFOIL,[0.78998604],[0.0055355],[-0.03505958],[142.71257735]
GOE 421 AIRFOIL,[1.40091138],[0.00982033],[-0.18531936],[142.65427649]
GOE 670 AIRFOIL,[0.93616374],[0.00656279],[-0.08155348],[142.64722185]
GOE 632 AIRFOIL,[0.77723642],[0.00545053],[-0.02190173],[142.59838166]
CLARK V AIRFOIL,[0.96878446],[0.0068041],[-0.09636393],[142.382465]
EPPLER 68 AIRFOIL,[1.00113783],[0.00703445],[-0.10963234],[142.31923559]
GOE 648 AIRFOIL,[0.97109002],[0.00682505],[-0.0684665],[142.28314988]
GOE 614 AIRFOIL,[1.10878759],[0.0077932],[-0.10924489],[142.27636182]
HQ 3.5/14 AIRFOIL,[1.03306844],[0.00726252],[-0.10320281],[142.24663397]
SA7024,[0.94869898],[0.00667149],[-0.08651955],[142.20193297]
EPPLER 556 AIRFOIL,[1.08164174],[0.00760733],[-0.1301879],[142.18412318]
GOE 346 (FRIEDRICHSHAFEN-STAAKEN) AIRFOIL,[0.94760262],[0.00666631],[-0.07732595],[142.14797811]
SD6080 (9.2%),[0.93662709],[0.00659097],[-0.07616301],[142.10757571]
DELFT DU84-132V3 AIRFOIL (MEASURED),[1.0023292],[0.00706214],[-0.10229253],[141.92996786]
FX 60-126/1 AIRFOIL,[1.13363541],[0.00799547],[-0.13063217],[141.78463792]
EPPLER 664 AIRFOIL,[0.9211693],[0.00649796],[-0.08431438],[141.76276042]
GOE 235 (SCHUETTE-LANZ) AIRFOIL,[0.90683044],[0.00640085],[-0.06360097],[141.67350862]
GOE 645 AIRFOIL,[1.05519989],[0.00744883],[-0.08765228],[141.65983712]
GOE 620 AIRFOIL,[1.07801411],[0.00761195],[-0.10683768],[141.62130721]
GOE 310 (MVA H.42) AIRFOIL,[0.8990443],[0.00634984],[-0.06266548],[141.58524991]
HQ 3.5/8 AIRFOIL,[1.01219151],[0.00714905],[-0.10273725],[141.58401039]
EPPLER 343 AIRFOIL,[0.79558939],[0.00562475],[-0.01270184],[141.44436369]
74-130 WP2 MOD,[1.00510162],[0.00710699],[-0.10430143],[141.42430802]
GOE 495 AIRFOIL,[1.12520014],[0.00795672],[-0.13411722],[141.41505905]
HQ 3.5/13 AIRFOIL,[1.02141507],[0.00722652],[-0.10095785],[141.34263101]
Glenn Martin 2,[1.08938698],[0.00771376],[-0.07289946],[141.226477]
GOE 427 AIRFOIL,[1.09899087],[0.00778344],[-0.11212577],[141.19597387]
RAF 19 AIRFOIL,[1.33327686],[0.00944544],[-0.13275454],[141.15567757]
BOEING-VERTOL VR-5 AIRFOIL,[0.8940573],[0.00633412],[-0.05679646],[141.14932731]
GOE 29B AIRFOIL,[1.18859298],[0.00843518],[-0.10739721],[140.90909859]
USA 51 AIRFOIL,[0.84463312],[0.00599471],[-0.05203726],[140.89641913]
NACA 65(4)-421,[0.961732],[0.00683599],[-0.09587915],[140.68666221]
SG6050,[0.98529237],[0.00700568],[-0.09581926],[140.64188561]
SM701,[1.10515623],[0.00785857],[-0.12533457],[140.63069119]
MRC-20,[0.91480858],[0.00651129],[-0.07606486],[140.49569936]
GOE 702 AIRFOIL,[1.0105538],[0.00720456],[-0.06624126],[140.26590978]
EPPLER 682 AIRFOIL,[0.88562491],[0.00631497],[-0.07108826],[140.24208175]
GOE 434 AIRFOIL,[1.27295811],[0.009083],[-0.15015643],[140.14733364]
NACA CYH,[0.86661162],[0.00618414],[-0.02861422],[140.13456381]
USA 27 mod. AIRFOIL,[0.97597355],[0.00696475],[-0.07334762],[140.13035511]
GOE 534 AIRFOIL,[1.10556125],[0.0078934],[-0.08830618],[140.06153428]
SG6042,[1.05022254],[0.00750086],[-0.11355333],[140.01361903]
AH 93-K-131/15,[0.76083141],[0.005439],[-0.02542792],[139.88446103]
S4110,[0.94064688],[0.00673022],[-0.08523471],[139.76467531]
S3025 9.38%,[0.94130838],[0.00673687],[-0.07763159],[139.72497616]
ARA-D 6% AIRFOIL,[1.1673954],[0.00836206],[-0.13633273],[139.60619163]
HQ 3.0/11 AIRFOIL,[0.96561303],[0.00692513],[-0.08946072],[139.43612331]
AH 79-K-143/18,[0.92159621],[0.00661068],[-0.07963476],[139.41025348]
MB253515 15.0% smoothed,[0.78172261],[0.0056082],[-0.04236218],[139.38929997]
SD7080 (9.2%),[0.86174704],[0.00618722],[-0.06306339],[139.27850525]
FX 75-141,[1.10682942],[0.00795177],[-0.13417184],[139.19283908]
EPPLER 637 AIRFOIL,[0.71120238],[0.00511018],[0.00409529],[139.17356332]
ONERA HOR12 AIRFOIL,[1.07874252],[0.00775165],[-0.11376962],[139.1629959]
E471  (6.25%),[1.20292731],[0.00864406],[-0.15940769],[139.16232319]
CLARK YM-18 AIRFOIL,[0.93784671],[0.00674713],[-0.07342288],[138.99932084]
EPPLER 1211 AIRFOIL,[1.09673501],[0.0078921],[-0.09618659],[138.96613975]
WORTMANN FX 60-126 AIRFOIL,[1.07380599],[0.0077293],[-0.11694513],[138.92659517]
Eiffel 385 (S.T. Ae),[1.34611688],[0.00969945],[-0.10194444],[138.78280436]
NACA 4421,[1.03465887],[0.00746594],[-0.09346671],[138.58392945]
SA7035,[0.85907488],[0.00620397],[-0.06185967],[138.47169808]
BOEING 103 AIRFOIL,[0.96635066],[0.00698388],[-0.07842477],[138.36878333]
MH 117  9.8%,[0.87766087],[0.00634515],[-0.06953045],[138.32004547]
SD7084 (9.6%),[0.81456774],[0.00589137],[-0.049445],[138.26466169]
MH 81  13%,[0.75897923],[0.00549133],[0.00069378],[138.21405207]
FX 63-110 AIRFOIL,[1.24937033],[0.00904297],[-0.15935873],[138.15931269]
USA 25 AIRFOIL,[0.96464819],[0.00698691],[-0.07049877],[138.0650056]
EPPLER 59 AIRFOIL,[1.30621268],[0.00946554],[-0.1892348],[137.99659817]
GOE 633 AIRFOIL,[0.80330853],[0.00582849],[-0.02447801],[137.82449829]
EPPLER 328 AIRFOIL,[0.75846105],[0.00550739],[-0.01424332],[137.71685934]
BOEING-VERTOL VR-7 AIRFOIL WITH TAB,[0.7992159],[0.00580816],[-0.03300643],[137.60225696]
74-130 WP2,[1.00536452],[0.0073074],[-0.10546996],[137.58170186]
E176  (8.83%),[0.86765081],[0.00630955],[-0.06057933],[137.51383435]
NACA 63(3)-618,[1.11547714],[0.00811211],[-0.12574609],[137.50769738]
EPPLER 545 AIRFOIL,[0.89741522],[0.0065304],[-0.07864796],[137.42110234]
E71  (5.15%),[1.22980691],[0.00894985],[-0.16791851],[137.41087258]
EPPLER 58 AIRFOIL,[1.44131956],[0.01049419],[-0.22477056],[137.34448887]
FX 60-160 AIRFOIL,[0.99327989],[0.00723376],[-0.10852462],[137.3116312]
EPPLER 1200 AIRFOIL,[1.05903477],[0.0077162],[-0.11265922],[137.24829479]
GOE 488 AIRFOIL,[0.86153722],[0.00628028],[-0.06303266],[137.18134519]
GOE 566 AIRFOIL,[0.84019224],[0.00612983],[-0.05481474],[137.06622801]
HQ 3.0/9 AIRFOIL,[0.95264473],[0.00695273],[-0.08839072],[137.0173925]
MH 126 25.0%,[1.29900157],[0.00949058],[-0.15511775],[136.87273461]
DAVIS BASIC B-24 WING AIRFOIL,[0.7209251],[0.00526817],[-0.01428339],[136.84537351]
CURTISS CR-1 AIRFOIL,[0.94434951],[0.00690176],[-0.07616964],[136.82743704]
NASA/LANGLEY LS(1)-0417MOD AIRFOIL,[1.08150273],[0.00791782],[-0.10583997],[136.59089517]
AS6091 | Ananda-Selig | AIAA Paper 2018-0310,[1.12553986],[0.00824035],[-0.1274931],[136.58890409]
GOE 619 AIRFOIL,[1.02209249],[0.00748534],[-0.0970394],[136.54586]
HQ 3.0/10 AIRFOIL,[0.95369218],[0.0069856],[-0.08789338],[136.52264526]
SD7043 (9.1%),[0.99482945],[0.00728939],[-0.09425237],[136.47628026]
Fage & Collins 1,[1.01513854],[0.00743882],[-0.08204643],[136.46493481]
AH 63-K-127/24,[0.98718523],[0.00723507],[-0.09880204],[136.44445229]
GOE 595 AIRFOIL,[0.91388245],[0.00670112],[-0.07659907],[136.37757083]
RAF 38 AIRFOIL,[0.78843228],[0.00578312],[-0.04216173],[136.33337518]
SG6040,[0.95562508],[0.00701351],[-0.09456883],[136.25497186]
S9000 (9%),[0.88557037],[0.00650011],[-0.0709264],[136.23926246]
EPPLER 858 AIRFOIL,[1.08167961],[0.0079419],[-0.10152183],[136.1990452]
S3014-095-85,[0.81009048],[0.00594824],[-0.04486189],[136.18992501]
LA2573A,[0.66534917],[0.0048888],[0.01724379],[136.09663314]
GOE 546 AIRFOIL,[0.98483003],[0.00724005],[-0.0961915],[136.02534209]
FX 60-100 (126) AIRFOIL,[1.05422736],[0.00775842],[-0.11737591],[135.88169198]
GEMINI (smoothed),[0.77016296],[0.00566817],[-0.04287596],[135.87495791]
SD8040 (10%),[0.86966342],[0.00640517],[-0.06140708],[135.77519522]
MH 102  16.99%,[0.89417704],[0.00658754],[-0.05940481],[135.73767677]
GOE 493 AIRFOIL,[0.91192014],[0.00672273],[-0.08604891],[135.6473274]
AH 93-K-130/15,[0.76925427],[0.00567585],[-0.02994114],[135.53113637]
GM15 (smoothed),[1.11215238],[0.00820665],[-0.13151859],[135.51836029]
EPPLER E854 AIRFOIL,[1.03641466],[0.00764833],[-0.11744664],[135.50858698]
EPPLER 332 AIRFOIL,[0.68899536],[0.00509364],[0.00701684],[135.26575453]
HQ 3.0/12 AIRFOIL,[0.9560894],[0.00706974],[-0.08734475],[135.2369089]
MH 201  13.08%,[1.00973739],[0.00746761],[-0.10681418],[135.21551617]
GOE 503 AIRFOIL,[1.03016187],[0.00762004],[-0.08077064],[135.19121038]
NACA 5-H-15 AIRFOIL,[0.6093841],[0.00450833],[0.01084402],[135.1686143]
SELIG 3002-099-83,[0.9658447],[0.00714965],[-0.08482033],[135.08976509]
HQ 3.5/18 AIRFOIL,[1.01876945],[0.00754146],[-0.09834754],[135.08920384]
S4053,[0.89006765],[0.00659549],[-0.07066002],[134.95096849]
GOE 54 AIRFOIL,[0.82129337],[0.00608609],[-0.02235032],[134.94603217]
FX 66-H-80,[0.63549551],[0.00470984],[0.01152288],[134.92927446]
SD2083 (9.0%),[0.85950584],[0.00637212],[-0.06363787],[134.88544133]
GOE 621 AIRFOIL,[1.01781287],[0.00754596],[-0.09034903],[134.8818755]
S7075 (9%),[0.94393611],[0.00700469],[-0.08815254],[134.75780593]
E62  (5.62%),[1.26272149],[0.00937252],[-0.17308425],[134.72599736]
RAF 32 MOD AIRFOIL,[1.02721212],[0.00762864],[-0.11462291],[134.65215042]
HQ 3.0/13 AIRFOIL,[0.95670058],[0.00710738],[-0.08695182],[134.60665072]
EPPLER 555 AIRFOIL,[1.00212934],[0.00744796],[-0.11144628],[134.55087195]
AS6092 | Ananda-Selig | AIAA Paper 2018-0310,[1.12249338],[0.00834467],[-0.12931158],[134.51618553]
FX 63-100 AIRFOIL,[1.2435683],[0.00925647],[-0.15946443],[134.34582137]
Eiffel 428 (Bleriot),[1.05966621],[0.00789413],[-0.08713344],[134.23463642]
MH 18  11.16%,[0.75034385],[0.00559237],[-0.02597819],[134.1728169]
WORTMANN FX 79-K-144/17 AIRFOIL,[0.89093747],[0.00664108],[-0.077409],[134.15560746]
AH 93-K-132/15,[0.7254902],[0.00540835],[-0.02130417],[134.14255095]
GOE 612 AIRFOIL,[1.01972107],[0.00760391],[-0.0908767],[134.10479187]
LIEBECK L1003 AIRFOIL,[0.95733557],[0.00714278],[-0.03968882],[134.02851056]
RG 15A 2.5/13.0 AIRFOIL,[0.92474728],[0.00690169],[-0.07975808],[133.98848495]
"NACA 63,3-418",[0.95037421],[0.00709834],[-0.0879518],[133.88676849]
EH 3.0/12,[0.67520743],[0.00504623],[0.00652109],[133.80428463]
HQ 3.0/14 AIRFOIL,[0.95359314],[0.00712767],[-0.08562031],[133.7875026]
CHEN AIRFOIL,[0.9724734],[0.00727017],[-0.02410194],[133.76219671]
HQ 3.0/8 AIRFOIL,[0.94725784],[0.00708399],[-0.0881912],[133.71821002]
GOE 804 (EA 8) AIRFOIL,[1.43097259],[0.01072625],[-0.22078213],[133.4084321]
GOE 484 AIRFOIL,[1.09179678],[0.0081883],[-0.1275628],[133.3362323]
MH 32  8.7%,[0.83120984],[0.00623746],[-0.05738334],[133.26087938]
BOEING VERTOL V43012-1.58 AIRFOIL,[0.81750435],[0.00614563],[-0.0154583],[133.02212408]
SD5060 (9.5%),[0.80823534],[0.0060779],[-0.04978239],[132.97946557]
GOE 418 AIRFOIL,[1.0461198],[0.00787075],[-0.08735139],[132.91239029]
AH 79-100 A AIRFOIL,[1.03795467],[0.00781368],[-0.11516144],[132.83820448]
FX60-100 10.0% smoothed,[1.05912131],[0.00797392],[-0.116729],[132.82310591]
Legionair 140 (digitized and smoothed by MSelig),[0.90731274],[0.00684009],[-0.06326268],[132.64625182]
GOE 396 AIRFOIL,[1.08203946],[0.0081576],[-0.11232836],[132.64187632]
AG27 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,[0.85638274],[0.00645662],[-0.06177727],[132.63644424]
HQ 3.0/15 AIRFOIL,[0.95269807],[0.00718669],[-0.08495583],[132.56421045]
EH 2.5/10,[0.66109743],[0.00498798],[0.00324923],[132.53823935]
S5020,[0.70043886],[0.00528483],[-0.00328603],[132.53768149]
Drela T16,[1.52405193],[0.01150308],[-0.20602253],[132.49075122]
GOE 435 AIRFOIL,[1.22370252],[0.00924435],[-0.14096865],[132.37306496]
AG23 XC Bubble Dancer Root Airfoil,[0.85618473],[0.00646827],[-0.0661965],[132.36683762]
CAL1215j,[0.79143745],[0.00597997],[-0.04793519],[132.34800997]
AG26 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,[0.85900343],[0.00649689],[-0.06387688],[132.21773274]
S4062-095-87,[0.99792931],[0.00754831],[-0.09792904],[132.20572154]
FX 84-W-097,[0.81980756],[0.00620185],[-0.05049738],[132.18754679]
GOE 494 AIRFOIL,[1.13667873],[0.00861146],[-0.14253832],[131.99600327]
AG25 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,[0.860028],[0.00652283],[-0.06578078],[131.84881956]
EPPLER 544 AIRFOIL,[0.84095099],[0.00638027],[-0.06406491],[131.80490266]
AH 88-K-130/20,[1.05651567],[0.00801655],[-0.12307846],[131.79184595]
GOE 744 AIRFOIL,[0.92708434],[0.00703959],[-0.01055412],[131.69569554]
AVISTAR,[0.7363524],[0.00559329],[-0.03525235],[131.64930324]
GOE 564 AIRFOIL,[0.88207698],[0.00671225],[-0.07218678],[131.4130694]
FX 69-274,[0.95425207],[0.00726157],[-0.07678149],[131.41126864]
HQ 2.5/10 AIRFOIL,[0.88657033],[0.00675338],[-0.07327937],[131.27799986]
HQ 2.5/11 AIRFOIL,[0.8984599],[0.00684583],[-0.07544289],[131.24187672]
WB-135/35  13.5%  smoothed,[0.92738953],[0.00706795],[-0.07917194],[131.21059474]
EPPLER 1230 AIRFOIL,[0.89010791],[0.00678497],[-0.05130861],[131.18827926]
EPPLER 337 AIRFOIL,[0.69984428],[0.00533743],[0.00624103],[131.12018394]
USA 32 AIRFOIL,[1.21603097],[0.00927567],[-0.11727951],[131.09903788]
HQ 2.5/9 AIRFOIL,[0.88521027],[0.00675295],[-0.07350149],[131.08506907]
E178  (8.69%),[0.79410504],[0.00605992],[-0.04273984],[131.04210927]
GOE 280 (DAIMLER XI) AIRFOIL,[1.0390208],[0.0079297],[-0.09025839],[131.02897146]
PSU-90-125WL,[0.87768559],[0.00669944],[-0.07315613],[131.00877892]
NACA 63(4)-221,[0.78531447],[0.00599652],[-0.0494466],[130.96177723]
AG24 Bubble Dancer DLG by Mark Drela | The AG2x airfoils are intended to be used on composite versions of the Bubble Dancer and the Allegro-Lite.,[0.85135742],[0.00650267],[-0.06498842],[130.92426886]
FX 60-157 AIRFOIL,[1.06646743],[0.00815453],[-0.12567196],[130.78217926]
E222  (10.17%),[0.92564926],[0.0070918],[-0.08841335],[130.52384192]
EPPLER 543 AIRFOIL,[0.79831988],[0.00611723],[-0.05112975],[130.5034148]
USA 48 AIRFOIL,[0.86270932],[0.00661075],[-0.06837973],[130.50104802]
GOE 370 AIRFOIL,[1.06915558],[0.00819468],[-0.11135674],[130.4694476]
E392  (10.15%),[1.00457692],[0.00770166],[-0.09862364],[130.43638092]
DF 101 AIRFOIL,[0.78916125],[0.00605122],[-0.04685419],[130.41363119]
EPPLER 546 AIRFOIL,[0.82091127],[0.00629528],[-0.05591143],[130.40105306]
AS6093 | Ananda-Selig | AIAA Paper 2018-0310,[1.11161972],[0.00853351],[-0.12963584],[130.26526341]
HAM-STD HS1-606 AIRFOIL,[1.09795596],[0.00842909],[-0.12180883],[130.25791627]
E203  (13.64%),[0.90491365],[0.00695161],[-0.08224436],[130.17328895]
S3016-095-87,[0.76003682],[0.00584388],[-0.03495109],[130.05687845]
GOE 518 AIRFOIL,[1.12175033],[0.00862727],[-0.08181635],[130.02375896]
DEFIANT CANARD BL145 AIRFOIL,[0.80775827],[0.00621287],[-0.03683344],[130.01367933]
ARA-D 10% AIRFOIL,[1.02090391],[0.00785353],[-0.08464642],[129.9929711]
GOE 397 AIRFOIL,[0.90235471],[0.00694721],[-0.07063669],[129.88736004]
GOE 627 AIRFOIL,[0.87426133],[0.00673953],[-0.04114734],[129.72131565]
FX 83-W-108,[1.10603065],[0.00852897],[-0.1360986],[129.67924761]
EPPLER 342 AIRFOIL,[0.7137848],[0.00550635],[0.00629393],[129.62941589]
FX 60-100 AIRFOIL,[1.06028044],[0.00818496],[-0.11700889],[129.54004592]
GOE 650 AIRFOIL,[1.02017169],[0.00788438],[-0.10653034],[129.39153223]
FX 75-VG-166/22,[0.88925238],[0.00688442],[-0.07298101],[129.16883167]
N-9,[0.99178193],[0.00768329],[-0.06115985],[129.08301748]
CLARK YH AIRFOIL,[0.84208686],[0.00652789],[-0.01975844],[128.99836046]
GOE 474 AIRFOIL,[0.86826859],[0.0067313],[-0.06617735],[128.98978195]
HQ 2.5/12 AIRFOIL,[0.88897231],[0.00689251],[-0.07274413],[128.97650105]
EPPLER 542 AIRFOIL,[0.75646497],[0.00587295],[-0.03748928],[128.80496836]
Smoothed ATR airfoil coordinates obtained  using AFSMO (Harry Morgan's NASA smoothing program),[0.78649634],[0.00610819],[-0.02302523],[128.76101992]
E209  (13.72%),[0.80122878],[0.0062229],[-0.05164068],[128.75488869]
S5010,[0.67307545],[0.0052287],[-0.0003482],[128.72723169]
GOE 464 AIRFOIL,[1.38180033],[0.01074098],[-0.13940718],[128.64755006]
EPPLER 694 AIRFOIL,[1.19959037],[0.00934915],[-0.17560848],[128.31008579]
ONERA HOR20 AIRFOIL,[0.97752713],[0.00762753],[-0.09006711],[128.15777938]
GOE 629 AIRFOIL,[0.8097169],[0.0063211],[-0.05602667],[128.09753129]
NASA/LANGLEY LS(1)-0413MOD AIRFOIL,[1.09384152],[0.00854215],[-0.10950492],[128.05222174]
davissm,[1.25053074],[0.00976876],[-0.1634881],[128.01324061]
FX 77-W-270S,[0.97273794],[0.00759874],[-0.05591689],[128.01302188]
NACA M13 AIRFOIL,[0.84023912],[0.0065654],[-0.052369],[127.97993729]
GOE 565 AIRFOIL,[0.89291555],[0.00697707],[-0.07638413],[127.97853525]
SD7090 (10%),[0.77903066],[0.00608724],[-0.0438124],[127.97759161]
GOE 368 AIRFOIL,[0.90102824],[0.00704616],[-0.05744018],[127.87515169]
FX 69-PR-281,[1.36722131],[0.01069292],[-0.16326924],[127.86230364]
A18 (smoothed),[1.04070931],[0.00816083],[-0.11743379],[127.52492437]
lrn1007,[1.15146874],[0.00903164],[-0.12416485],[127.49271127]
GOE 522 AIRFOIL,[1.08083874],[0.00847785],[-0.1086921],[127.48971429]
AG44ct -02f,[0.74792838],[0.00586958],[-0.0326773],[127.42449849]
AG35,[0.96968414],[0.0076101],[-0.04580125],[127.4207431]
GOE 188 (SCHUETTE-LANZ 3U10) AIRFOIL,[0.98283009],[0.00771461],[-0.07601752],[127.39847531]
GOE 499 AIRFOIL,[1.2306724],[0.00966141],[-0.16860999],[127.38023647]
NACA M16 AIRFOIL,[0.78780361],[0.00618808],[-0.02828778],[127.3097934]
GOE 735 AIRFOIL,[0.76318474],[0.00600864],[0.00226856],[127.01450443]
FX 74-130 WP1,[1.02318962],[0.00805814],[-0.11640637],[126.97594738]
E387,[0.93257737],[0.00736042],[-0.0769409],[126.70171207]
GOE 506 AIRFOIL,[0.94088837],[0.00742673],[-0.07628172],[126.68950516]
MH 80  12.72%,[0.6794424],[0.00536416],[0.01689744],[126.6632378]
HQ 2.5/8 AIRFOIL,[0.8818717],[0.00696382],[-0.07362151],[126.63624143]
NACA 64(4)-221,[0.78519645],[0.00620219],[-0.0513135],[126.59996845]
DS19 Joe Wurts,[0.82427028],[0.00652147],[-0.05790337],[126.39338586]
BELL/WORTMANN FX 69-H-098 AIRFOIL,[0.70526575],[0.00559411],[-0.01927513],[126.07299008]
EH 2.0/10,[0.64029829],[0.00507964],[0.00271897],[126.05189176]
AH 81-131,[0.65708502],[0.00521808],[-0.00048924],[125.92475873]
A18 (original),[1.15136685],[0.0091499],[-0.12004416],[125.83388412]
AG19,[0.80892019],[0.00643877],[-0.05119271],[125.6327657]
NACA 2-H-15 AIRFOIL,[0.84329266],[0.00671329],[-0.03524138],[125.61546543]
MH 104  15.28%,[0.63995973],[0.00509664],[0.00580546],[125.56499575]
MH 60  10.08%,[0.67577297],[0.005385],[-0.00878389],[125.49161689]
GOE 417A (GEW. PLATTE) AIRFOIL,[1.00472717],[0.00801159],[-0.09042685],[125.40916621]
GOE 456 AIRFOIL,[1.07245317],[0.00855667],[-0.11666892],[125.33535018]
EPPLER 327 AIRFOIL,[0.66934423],[0.00534305],[0.00719997],[125.27386904]
EPPLER 636 AIRFOIL,[0.62637092],[0.00500625],[0.02653405],[125.11780117]
GOE 458 AIRFOIL,[1.07148435],[0.00856978],[-0.11664259],[125.03055645]
NASA/LANGLEY LS(1)-0421MOD AIRFOIL,[1.16709807],[0.00933554],[-0.11228467],[125.01669291]
WORTMANN FX 62-K-131 AIRFOIL,[1.25795667],[0.01006695],[-0.1748743],[124.95903693]
USA 31 AIRFOIL,[1.19460993],[0.00957017],[-0.12547044],[124.8263578]
GOE 118 (MVA MK.7) AIRFOIL,[1.12853311],[0.00904166],[-0.12704145],[124.81475182]
MH 200  12.97%,[0.88024091],[0.00706129],[-0.07753258],[124.65720289]
E63  (4.25%),[1.34144689],[0.01076587],[-0.19643651],[124.60184854]
S8037 (16%),[0.72819998],[0.00584709],[-0.02109556],[124.54053465]
S2046,[0.93170615],[0.00748446],[-0.08806934],[124.48548257]
GOE 391 AIRFOIL,[0.8916153],[0.00716301],[-0.07364692],[124.4750065]
RG 8 AIRFOIL,[0.92307019],[0.00742122],[-0.09076326],[124.38253229]
FX 62-K-153/20 AIRFOIL,[1.22468619],[0.0098482],[-0.16828119],[124.35639228]
EH 2.0/12,[0.6422175],[0.00516762],[0.00281755],[124.27720804]
AG37,[0.92820657],[0.00747028],[-0.04506205],[124.25322052]
E174  (Dicke 8.92%),[0.93879331],[0.00755782],[-0.07863403],[124.21478076]
RAF 34 AIRFOIL,[0.63535504],[0.00512065],[0.00126209],[124.07693102]
AH 88-K-136/16,[0.68519642],[0.00553155],[-0.01310224],[123.87050449]
DF102,[0.78828984],[0.00636396],[-0.04338927],[123.86788899]
FX 83-W-160,[1.10570853],[0.00893001],[-0.14564525],[123.81946123]
BOEING VERTOL V43015-2.48 AIRFOIL,[0.81229862],[0.00656124],[-0.00965702],[123.80252844]
AG18,[0.80196391],[0.00648047],[-0.05056175],[123.75091737]
GOE 676 (= M 12) AIRFOIL,[0.71118627],[0.00574713],[-0.02582487],[123.74643524]
AG11,[0.76418428],[0.00617619],[-0.03221058],[123.73063819]
GOE 298 AIRFOIL,[1.0574033],[0.00854751],[-0.09483531],[123.70893274]
GOE 507 AIRFOIL,[0.85338832],[0.00690167],[-0.0636097],[123.64953344]
GOE 622 AIRFOIL,[0.81686639],[0.00660983],[-0.05668005],[123.58365443]
ONERA HOR07 AIRFOIL,[1.01387874],[0.00820427],[-0.09642497],[123.57942658]
MA409 (smoothed),[0.96538139],[0.00783131],[-0.10054486],[123.27204843]
MH 62  9.3%,[0.67422018],[0.00547691],[-0.01201425],[123.10227091]
AG36,[0.94406732],[0.00766957],[-0.04450174],[123.09259432]
MH 42  8.94%,[0.72774278],[0.00591369],[-0.02847684],[123.0606491]
AG45c -03f,[0.64257474],[0.00522771],[-0.02794674],[122.91704024]
AG45ct -02f,[0.72910354],[0.00593433],[-0.02799756],[122.86201123]
AG14,[0.7887473],[0.00641987],[-0.04665213],[122.86024472]
AG55,[0.76236474],[0.00621009],[-0.03856392],[122.76226107]
NACA 2.5411,[0.82934573],[0.00676392],[-0.05835105],[122.61320799]
GOE 563 AIRFOIL,[0.81849371],[0.00667582],[-0.05756759],[122.60568574]
CAL4014l,[0.62913413],[0.00513405],[0.00665559],[122.54159429]
MH 45  9.85%,[0.66470814],[0.00542735],[-0.00636759],[122.47386822]
GOE 344 (PFALZ 71) AIRFOIL,[0.81088253],[0.00662141],[-0.04679229],[122.46368402]
NACA 63(2)-615,[1.09462683],[0.00894052],[-0.12433005],[122.43433021]
RAF 15 AIRFOIL,[0.83145604],[0.00679127],[-0.04632295],[122.43013196]
EPPLER E1212 AIRFOIL,[0.92058323],[0.00752279],[-0.05785078],[122.37250504]
FX 60-177 AIRFOIL,[1.0580905],[0.00864928],[-0.12372985],[122.33282684]
St. CYR 234 (Bartel 17-IC),[1.38093788],[0.01129925],[-0.09401761],[122.21502044]
GOE 515 AIRFOIL,[0.84641768],[0.00692645],[-0.06312426],[122.2008464]
SD7003-085-88,[0.75048075],[0.00614289],[-0.0372827],[122.17065431]
HQ 2.5/9.0 smoothed by Eppler,[0.92750259],[0.00759568],[-0.08434818],[122.10915651]
HQ 2.5/9 B AIRFOIL,[0.9275033],[0.00759569],[-0.08434837],[122.10911262]
AG03 (flat aft bottom),[0.74568513],[0.0061085],[-0.03232716],[122.07341896]
GOE 117 (MVA MK.4) AIRFOIL,[1.00208685],[0.0082144],[-0.10291029],[121.99152057]
AH 94-W-301,[0.94342412],[0.00773636],[-0.11581268],[121.94673717]
KC-135 Winglet (supercritical Whitcomb),[1.11539446],[0.00914783],[-0.12894271],[121.92998726]
RG 15A-1.8/11.0 AIRFOIL,[0.81954549],[0.00672677],[-0.05827466],[121.83341688]
ARA-D 13% AIRFOIL,[0.94963337],[0.00779514],[-0.05664758],[121.82376162]
AG455ct -02f rot.,[0.73289971],[0.00601686],[-0.02893592],[121.80769524]
DS21 Joe Wurts,[0.79297848],[0.00651827],[-0.05067893],[121.6548365]
SD2030-086-88,[0.83272122],[0.00684671],[-0.06329057],[121.62355013]
E220  (11.48%),[0.6674735],[0.00549078],[-0.00728028],[121.56254723]
