Airfoil,CL,CD,CM,CL/CD
GOE 173 (ALBATROS 6020) AIRFOIL,[1.18830511],[0.00635839],[-0.12021755],[186.88786449]
20-32C AIRFOIL,[1.27991063],[0.00688239],[-0.13396603],[185.96888949]
GOE 174 (ALBATROS 5020) AIRFOIL,[1.15082357],[0.00619076],[-0.11309527],[185.89383453]
FX 66-182 AIRFOIL,[1.05235064],[0.00566943],[-0.1031929],[185.61830368]
NACA 6412,[1.2451863],[0.00671794],[-0.14735011],[185.35252838]
RONCZ 1082 VOYAGER ROOT OUTER AFT WING AIRFOIL,[0.93654445],[0.00505379],[-0.07687445],[185.31525727]
HORSTMANN AND QUAST HQ-300 GD(MOD 2) AIRFOIL,[1.22189335],[0.00659731],[-0.13861488],[185.21088984]
MH 112  16.2%,[1.47379315],[0.00796036],[-0.19893899],[185.14150348]
GOE 324 (HANSA-BRANDENBURG) AIRFOIL,[1.06547699],[0.00575641],[-0.06565946],[185.09410121]
GOE 226 (MVA H.36) AIRFOIL,[1.54587824],[0.00835799],[-0.21356432],[184.95812818]
AH 81-K-144/17,[1.03600717],[0.00560678],[-0.10473906],[184.77744894]
GOE 228 (MVA H.38) AIRFOIL,[1.51953975],[0.00823289],[-0.2071925],[184.56949352]
AH 83-150 Q,[1.00129898],[0.00542568],[-0.07939292],[184.54812765]
GOE 611 AIRFOIL,[1.21831882],[0.00661332],[-0.12472093],[184.22208207]
S1020 Ornithopter airfoil,[1.21596748],[0.00660133],[-0.15812323],[184.20043475]
FX 66-17AII-182 AIRFOIL,[1.04594553],[0.00568236],[-0.10114497],[184.06901038]
FX 66-S-161 AIRFOIL,[1.05332857],[0.00572452],[-0.10283609],[184.00291331]
LISSAMAN 7769 AIRFOIL,[0.85984486],[0.00467631],[-0.02892732],[183.87260599]
GOE 225 (MVA H.35) AIRFOIL,[1.56021601],[0.00848627],[-0.22561536],[183.85172445]
GOE 439 AIRFOIL,[1.09133099],[0.00593973],[-0.10612911],[183.73401989]
GOE 331 (PFALZ 60) AIRFOIL,[1.3002711],[0.00708048],[-0.13827003],[183.64153798]
GOE 329 (PFALZ 58) AIRFOIL,[1.1707976],[0.00638118],[-0.11944708],[183.47661843]
GOE 425 AIRFOIL,[1.03482659],[0.0056441],[-0.08723176],[183.34650434]
GOE 574 AIRFOIL,[1.12249817],[0.00612703],[-0.11604514],[183.20425574]
GOE 441 AIRFOIL,[1.56222272],[0.00852762],[-0.21152247],[183.19558826]
GOE 359 AIRFOIL,[1.14644881],[0.00627105],[-0.11450803],[182.81608516]
GOE 803 (HACKLINGER) AIRFOIL,[1.33603399],[0.00731022],[-0.16502588],[182.76254019]
RONCZ 1080 VOYAGER INNER AFT WING AIRFOIL,[0.91242803],[0.0049973],[-0.06902178],[182.58429881]
MH 115  11.06%,[1.29577476],[0.00709938],[-0.16559136],[182.51944822]
GOE 501 AIRFOIL,[1.32328354],[0.00725966],[-0.17196184],[182.27890272]
LIEBECK LA5055 AIRFOIL,[1.05125944],[0.00576749],[-0.07692988],[182.27314608]
EPPLER 598 AIRFOIL,[0.91541609],[0.00502329],[-0.04486514],[182.2344529]
GOE 198 (L.F.G. 5294) AIRFOIL,[1.29531602],[0.00711054],[-0.15252294],[182.16855525]
GOE 184 (MVA H.29) AIRFOIL,[1.09862427],[0.0060366],[-0.10389744],[181.99373667]
GOE 364 AIRFOIL,[1.23107783],[0.00676554],[-0.11409616],[181.96297271]
S1223,[1.86891978],[0.01028114],[-0.29509113],[181.78143391]
GOE 652 AIRFOIL,[1.72294185],[0.0094782],[-0.26799479],[181.7794636]
FX 66-S-171 AIRFOIL,[1.05256255],[0.00579904],[-0.10250957],[181.50638999]
GOE 330 (PFALZ 59) AIRFOIL,[1.18026444],[0.00650846],[-0.12447084],[181.34311035]
AH 79-100 B AIRFOIL,[1.47879717],[0.00816616],[-0.21806701],[181.0883951]
GOE 264 AIRFOIL,[1.16250458],[0.0064204],[-0.12174416],[181.06417708]
EPPLER 396 AIRFOIL,[1.28391101],[0.00709445],[-0.17256017],[180.97387698]
GOE 177 AIRFOIL,[1.05673238],[0.00583937],[-0.09667619],[180.96669502]
GOE 239 (MVA H.31) AIRFOIL,[1.32033297],[0.00730286],[-0.16427284],[180.79667625]
GOE 335 (D.F.W.) AIRFOIL,[1.03844467],[0.00575625],[-0.09272175],[180.40304236]
FX S 02/1-158 AIRFOIL,[1.06515962],[0.00590455],[-0.10388745],[180.3964109]
EPPLER 657 AIRFOIL,[1.16153756],[0.00644678],[-0.13565489],[180.17325469]
GOE 591 AIRFOIL,[1.10813306],[0.00615109],[-0.10773106],[180.15239521]
GOE 417 AIRFOIL,[1.15709123],[0.00643047],[-0.11688764],[179.9387524]
GOE 223 (MVA H.34) AIRFOIL,[1.34239476],[0.00746235],[-0.1714241],[179.88893787]
AH 80-129,[0.91554554],[0.00509023],[-0.07189606],[179.86333012]
GOE 387 AIRFOIL,[1.15199663],[0.00641058],[-0.10773268],[179.70243736]
WORTMANN FX 66-17A-175 AIRFOIL,[1.07701123],[0.00599364],[-0.10579823],[179.69240838]
EPPLER 422 AIRFOIL,[1.2483964],[0.00695024],[-0.12280196],[179.61927161]
GOE 140 (MVA H.17) AIRFOIL,[1.11411868],[0.00620279],[-0.10099771],[179.615669]
EPPLER 378 AIRFOIL,[1.12692023],[0.00627784],[-0.09271923],[179.50775858]
GOE 167 (V.KARMAN PROP.2) AIRFOIL,[1.02266262],[0.00569897],[-0.08592897],[179.44692087]
GOE 573 AIRFOIL,[1.13834078],[0.0063487],[-0.09694499],[179.30295756]
FX 77-W-121,[0.88661114],[0.00494598],[-0.0348152],[179.25888444]
GOE 178 AIRFOIL,[1.01297876],[0.00565898],[-0.0904772],[179.00385052]
WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT NASA),[1.04182366],[0.00582347],[-0.10296288],[178.90090193]
GOE 401 AIRFOIL,[1.02922474],[0.00575446],[-0.08385858],[178.85701113]
EPPLER 604 AIRFOIL,[1.11795315],[0.00625106],[-0.1303068],[178.84215533]
GOE 802 AIRFOIL,[1.1883038],[0.00664864],[-0.12225274],[178.72874846]
GOE 801 (MVA 301) AIRFOIL,[1.1883038],[0.00664864],[-0.12225274],[178.72874846]
GOE 483 AIRFOIL,[1.09718245],[0.00614239],[-0.10635344],[178.6247024]
GOE 289 (MVA 289) AIRFOIL,[1.19548],[0.00669851],[-0.12881806],[178.46964888]
GOE 182 (MVA H.27) AIRFOIL,[1.09630054],[0.00614672],[-0.09738048],[178.35529512]
EPPLER 582 AIRFOIL,[1.11913006],[0.00628111],[-0.12384455],[178.17396726]
GOE 584 AIRFOIL,[1.08798064],[0.00610962],[-0.10060098],[178.07658586]
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL,[1.01893201],[0.00572212],[-0.11308898],[178.06906389]
EPPLER 435 AIRFOIL,[1.24965785],[0.0070256],[-0.1637878],[177.87208544]
EPPLER 585 AIRFOIL,[1.13739247],[0.00639622],[-0.12918301],[177.82256285]
E591,[1.50677575],[0.00847495],[-0.20538215],[177.79164422]
GOE 531 AIRFOIL,[1.77095848],[0.00996126],[-0.28353547],[177.78465093]
AH 79-100 C AIRFOIL,[1.39576804],[0.00785453],[-0.20399264],[177.70225875]
EPPLER 603 AIRFOIL,[1.05711681],[0.00595006],[-0.10810349],[177.665035]
USA 35 AIRFOIL,[1.29829391],[0.00730951],[-0.13769667],[177.61714757]
GOE 527 AIRFOIL,[1.15599431],[0.00650915],[-0.10376364],[177.59527134]
