Airfoil,Alpha,CL,CD,CM,CL/CD
ah21-9,-5,[-0.23328558],[0.00572165],[-0.07919589],[-40.77245334]
ah21-9,0,[0.2942004],[0.00388281],[-0.07281459],[75.76995508]
ah21-9,5,[0.81250201],[0.0071497],[-0.06556601],[113.64142986]
ah21-9,10,[1.31302897],[0.01216538],[-0.05731257],[107.93158595]
ah21-9,15,[1.69013061],[0.02449006],[-0.03243972],[69.01291049]
la203a,-5,[0.2024321],[0.00665604],[-0.17188669],[30.41331406]
la203a,0,[0.81929546],[0.00582972],[-0.18211621],[140.5376431]
la203a,5,[1.40874399],[0.00690723],[-0.19159986],[203.95207309]
la203a,10,[1.80349224],[0.01621293],[-0.16638556],[111.23791401]
la203a,15,[2.00603413],[0.04070249],[-0.13652577],[49.28528896]
goe444,-5,[-0.53638293],[0.01284594],[-0.00134213],[-41.75506692]
goe444,0,[-3.33066907e-16],[0.00325486],[-2.22044605e-17],[-1.02329044e-13]
goe444,5,[0.53638293],[0.01284594],[0.00134213],[41.75506692]
goe444,10,[0.64140124],[0.11320785],[-0.01393802],[5.66569582]
goe444,15,[0.74018907],[0.1882596],[-0.04897487],[3.93174674]
e1212,-5,[-0.2358513],[0.00665017],[-0.06337933],[-35.46546403]
e1212,0,[0.34829717],[0.00664299],[-0.0607237],[52.43079771]
e1212,5,[0.92058323],[0.00752279],[-0.05785078],[122.37250504]
e1212,10,[1.47679589],[0.00882238],[-0.05596454],[167.39198687]
e1212,15,[1.90789799],[0.0141596],[-0.03704145],[134.74237222]
rae103,-5,[-0.54754177],[0.00691451],[0.00061213],[-79.18732148]
rae103,0,[3.33066907e-16],[0.0037146],[6.66133815e-17],[8.96643281e-14]
rae103,5,[0.54754177],[0.00691451],[-0.00061213],[79.18732148]
rae103,10,[1.08413098],[0.01128728],[-0.00023034],[96.04894573]
rae103,15,[1.51400191],[0.02201122],[0.01216264],[68.78317611]
giiil,-5,[-0.42267101],[0.00656208],[-0.01812183],[-64.41114749]
giiil,0,[0.13673839],[0.00596389],[-0.01745168],[22.92772455]
giiil,5,[0.67839154],[0.00633702],[-0.01489018],[107.05209755]
giiil,10,[1.22269804],[0.0100007],[-0.01511181],[122.2612277]
giiil,15,[1.69562697],[0.01744996],[-0.00731501],[97.17082135]
b707e,-5,[-0.33308619],[0.00707022],[-0.04096037],[-47.11117982]
b707e,0,[0.22150295],[0.00512321],[-0.04120597],[43.23516271]
b707e,5,[0.73542005],[0.00682091],[-0.03675756],[107.81846446]
b707e,10,[1.22664445],[0.01355186],[-0.02977526],[90.51485638]
b707e,15,[1.4109709],[0.04190602],[-0.00095065],[33.6698827]
goe79,-5,[0.01909998],[0.00896028],[-0.10632639],[2.13162678]
goe79,0,[0.60245241],[0.00682553],[-0.10676313],[88.26458965]
goe79,5,[1.17099178],[0.00777087],[-0.10834453],[150.68992326]
goe79,10,[1.69883384],[0.01170288],[-0.10525195],[145.16379737]
goe79,15,[2.12921182],[0.01968307],[-0.09057774],[108.1747983]
giiig,-5,[-0.43796478],[0.00685292],[-0.01641666],[-63.90926135]
giiig,0,[0.11416629],[0.00382694],[-0.01779297],[29.83225149]
giiig,5,[0.64717172],[0.0066632],[-0.01631742],[97.12621915]
giiig,10,[1.17372484],[0.01172801],[-0.01572914],[100.07877611]
giiig,15,[1.59589649],[0.02280242],[-0.00426021],[69.98803574]
sc20606,-5,[-0.19962471],[0.00545813],[-0.07893784],[-36.57381644]
sc20606,0,[0.38505149],[0.00597513],[-0.08879755],[64.44232261]
sc20606,5,[0.94382891],[0.00931657],[-0.08941261],[101.30648373]
sc20606,10,[1.45230139],[0.01983829],[-0.08209047],[73.20696792]
sc20606,15,[0.98217395],[0.2507471],[-0.14626222],[3.91699025]
ds21,-5,[-0.30951369],[0.00604557],[-0.05490512],[-51.19678447]
ds21,0,[0.2453128],[0.00474984],[-0.05295264],[51.64656073]
ds21,5,[0.79297848],[0.00651827],[-0.05067893],[121.6548365]
ds21,10,[1.311911],[0.01140917],[-0.04487677],[114.98738343]
ds21,15,[1.73839639],[0.02062934],[-0.02907273],[84.26814849]
goe767,-5,[-0.48196655],[0.00723431],[-0.00490545],[-66.62233529]
goe767,0,[0.08232104],[0.00648472],[0.00145285],[12.69461987]
goe767,5,[0.63366612],[0.00564781],[0.00935674],[112.19672754]
goe767,10,[1.2212943],[0.0092698],[0.00420185],[131.74977748]
goe767,15,[1.68527071],[0.01536635],[0.02013575],[109.67280509]
m9,-5,[-0.05162116],[0.00798937],[-0.07428691],[-6.46122762]
m9,0,[0.52346439],[0.00675544],[-0.07007455],[77.48787202]
m9,5,[1.10453004],[0.00731661],[-0.07255547],[150.96195788]
m9,10,[1.66778504],[0.01060821],[-0.07388393],[157.21646678]
m9,15,[1.9017308],[0.0406972],[-0.06787467],[46.72878578]
giiib,-5,[-0.51203865],[0.00701804],[0.00259159],[-72.96030409]
giiib,0,[0.01867642],[0.00410994],[0.00637451],[4.54420559]
giiib,5,[0.55693006],[0.00572771],[0.00860996],[97.23426125]
giiib,10,[1.09813722],[0.01104366],[0.00653464],[99.43596925]
giiib,15,[1.50989428],[0.02029742],[0.02205023],[74.38846499]
goe365,-5,[0.02180046],[0.00705098],[-0.10420181],[3.09183469]
goe365,0,[0.56089083],[0.00627977],[-0.09880793],[89.3170685]
goe365,5,[1.11796089],[0.0069296],[-0.10119356],[161.33114801]
goe365,10,[1.54968515],[0.01034164],[-0.08004998],[149.84906132]
goe365,15,[1.7665234],[0.02727291],[-0.04365264],[64.77207908]
naca654221,-5,[-0.40750788],[0.00719796],[-0.02797475],[-56.61435848]
naca654221,0,[0.18855677],[0.00446034],[-0.04200735],[42.27408909]
naca654221,5,[0.77980694],[0.00652611],[-0.05461507],[119.49037443]
naca654221,10,[1.19103651],[0.01586305],[-0.04203121],[75.082454]
naca654221,15,[1.50033326],[0.03432155],[-0.03232393],[43.71402424]
vr11x,-5,[-0.40207278],[0.00720691],[-0.01364204],[-55.78993691]
vr11x,0,[0.16074801],[0.00656491],[-0.01575133],[24.48593623]
vr11x,5,[0.75755439],[0.00679095],[-0.02771936],[111.55349486]
vr11x,10,[1.33794176],[0.01053882],[-0.03861302],[126.95364051]
vr11x,15,[1.61139018],[0.02222562],[-7.32611669e-05],[72.50147215]
naca23018,-5,[-0.4188368],[0.0075295],[-0.00741077],[-55.62614348]
naca23018,0,[0.14232677],[0.00613764],[-0.00639931],[23.18916252]
naca23018,5,[0.71262192],[0.00696966],[-0.00812125],[102.24635256]
naca23018,10,[1.22418804],[0.01061675],[-0.00156626],[115.30720613]
naca23018,15,[1.50646277],[0.02560928],[0.0240931],[58.82487188]
ua79sff,-5,[0.04535814],[0.01285744],[-0.17317693],[3.52777447]
ua79sff,0,[0.62716529],[0.01062723],[-0.45655298],[59.01495013]
ua79sff,5,[1.20454763],[0.01052538],[-0.73906381],[114.44222262]
ua79sff,10,[1.6438816],[0.01306486],[-0.93498835],[125.82464776]
ua79sff,15,[1.50612624],[0.06988188],[-0.84113024],[21.55245875]
v43015,-5,[-0.26923184],[0.00830503],[-0.02147283],[-32.41793152]
v43015,0,[0.27241106],[0.00755068],[-0.01570103],[36.07766845]
v43015,5,[0.81229862],[0.00656124],[-0.00965702],[123.80252844]
v43015,10,[1.27262534],[0.01317728],[0.0039016],[96.5772528]
v43015,15,[1.5173237],[0.03092404],[0.02783684],[49.06615282]
m8,-5,[-0.03992494],[0.00960134],[-0.06846113],[-4.15826858]
m8,0,[0.53607519],[0.00703037],[-0.06333411],[76.25135383]
m8,5,[1.10914108],[0.00746341],[-0.06309789],[148.61042877]
m8,10,[1.65170786],[0.01004601],[-0.06245822],[164.41425397]
m8,15,[1.90901623],[0.03233529],[-0.04704217],[59.03817172]
n64212,-5,[-0.39552697],[0.00666045],[-0.03603987],[-59.38440787]
n64212,0,[0.18362679],[0.00401119],[-0.04257564],[45.77865839]
n64212,5,[0.74290221],[0.00759024],[-0.04534776],[97.87599921]
n64212,10,[1.27953411],[0.01173022],[-0.04569957],[109.08010759]
n64212,15,[1.68479483],[0.02101449],[-0.02881991],[80.17302036]
e638,-5,[-0.2262002],[0.00935869],[-0.03249888],[-24.17006217]
e638,0,[0.30736406],[0.0066686],[-0.02537022],[46.09126325]
e638,5,[0.83959253],[0.00537264],[-0.01857235],[156.27176981]
e638,10,[1.37049706],[0.01312114],[-0.02403693],[104.44956712]
e638,15,[1.40269087],[0.05172442],[0.00021486],[27.11854451]
vr15,-5,[-0.52541912],[0.00704826],[0.00987746],[-74.54595263]
vr15,0,[0.03397227],[0.00586021],[0.00983175],[5.79710869]
vr15,5,[0.61503465],[0.00591361],[0.00275187],[104.00320085]
vr15,10,[1.17855605],[0.01040293],[-0.00299165],[113.29082856]
vr15,15,[1.6116124],[0.01841246],[0.01268452],[87.52833973]
e342,-5,[-0.34514101],[0.00831916],[-0.00469173],[-41.48749181]
e342,0,[0.19076322],[0.00703595],[-9.05010773e-05],[27.11264889]
e342,5,[0.7137848],[0.00550635],[0.00629393],[129.62941589]
e342,10,[1.24004796],[0.00834711],[0.0068281],[148.56017997]
e342,15,[1.48743171],[0.0222225],[0.04117142],[66.9335754]
eh2012,-5,[-0.45909005],[0.00754375],[-0.00229949],[-60.85697563]
eh2012,0,[0.09302934],[0.00528897],[-0.00018147],[17.58929505]
eh2012,5,[0.6422175],[0.00516762],[0.00281755],[124.27720804]
eh2012,10,[1.18696493],[0.01090316],[-0.00047278],[108.864272]
eh2012,15,[1.55982997],[0.02024186],[0.01980443],[77.05963456]
ah93w145,-5,[-0.11276388],[0.00702657],[-0.08971479],[-16.04820519]
ah93w145,0,[0.47908784],[0.00527182],[-0.09753809],[90.87716177]
ah93w145,5,[1.06674915],[0.00535988],[-0.10527681],[199.02490601]
ah93w145,10,[1.51951662],[0.01362771],[-0.09260288],[111.50197778]
ah93w145,15,[1.76257089],[0.03425088],[-0.06831681],[51.46059457]
fx63120,-5,[0.24877918],[0.00588947],[-0.18500592],[42.24132811]
fx63120,0,[0.84175318],[0.00506186],[-0.19112002],[166.29309947]
fx63120,5,[1.37647803],[0.00929944],[-0.18755101],[148.0172341]
fx63120,10,[1.81640803],[0.01740392],[-0.16842145],[104.36776289]
fx63120,15,[1.96886559],[0.04337177],[-0.12577763],[45.39509223]
naca662415,-5,[-0.19288442],[0.00663123],[-0.07956464],[-29.08728874]
naca662415,0,[0.36975907],[0.00358586],[-0.08734668],[103.11598507]
naca662415,5,[0.82503834],[0.00884454],[-0.07189211],[93.28217661]
naca662415,10,[1.24111327],[0.01424695],[-0.05408968],[87.11430368]
naca662415,15,[1.57168106],[0.02590763],[-0.03308206],[60.66480183]
as6098,-5,[0.53153579],[0.00687865],[-0.24927713],[77.27329705]
as6098,0,[1.08767859],[0.00613106],[-0.24723038],[177.40455384]
as6098,5,[1.60479728],[0.0104002],[-0.23758487],[154.30446957]
as6098,10,[2.04851189],[0.01714668],[-0.21708851],[119.46991091]
as6098,15,[2.25057699],[0.03411312],[-0.16253217],[65.97393582]
e553,-5,[-0.09826863],[0.00629017],[-0.10658471],[-15.62257651]
e553,0,[0.47416414],[0.00524972],[-0.11023777],[90.32182474]
e553,5,[1.03774255],[0.00649739],[-0.11320696],[159.71672908]
e553,10,[1.42045326],[0.01374601],[-0.08549201],[103.33564061]
e553,15,[1.64604527],[0.03085337],[-0.05272245],[53.35058098]
goe769,-5,[-0.13633171],[0.00737359],[-0.06825168],[-18.48919271]
goe769,0,[0.4362356],[0.00712317],[-0.0615863],[61.24175758]
goe769,5,[1.01243696],[0.00673704],[-0.05954926],[150.27921516]
goe769,10,[1.54771283],[0.00962874],[-0.05436674],[160.73893706]
goe769,15,[1.99161795],[0.01453079],[-0.03883913],[137.06194478]
du84132v,-5,[-0.07033796],[0.00621377],[-0.10999589],[-11.31968567]
du84132v,0,[0.47597874],[0.00488751],[-0.10800992],[97.38682251]
du84132v,5,[1.0023292],[0.00706214],[-0.10229253],[141.92996786]
du84132v,10,[1.43666884],[0.01268017],[-0.08161178],[113.30046773]
du84132v,15,[1.73326624],[0.02299108],[-0.0473428],[75.38863846]
rg1410,-5,[-0.32905706],[0.00617787],[-0.04746753],[-53.26386592]
rg1410,0,[0.20695948],[0.00476289],[-0.04212566],[43.45250494]
rg1410,5,[0.73362921],[0.0065093],[-0.03592597],[112.70477927]
rg1410,10,[1.2606588],[0.01092333],[-0.03244968],[115.40979164]
rg1410,15,[1.66392473],[0.01866142],[-0.01089944],[89.16389701]
2032c,-5,[0.10554075],[0.01044973],[-0.12921031],[10.09985483]
2032c,0,[0.71916293],[0.00693061],[-0.13295128],[103.766231]
2032c,5,[1.27991063],[0.00688239],[-0.13396603],[185.96888949]
2032c,10,[1.77457671],[0.01508097],[-0.12850508],[117.66993679]
2032c,15,[1.98749758],[0.03672219],[-0.09517598],[54.1225169]
goe647,-5,[0.0114751],[0.00733311],[-0.10223795],[1.56483432]
goe647,0,[0.56441237],[0.00679285],[-0.09741996],[83.08913605]
goe647,5,[1.10782287],[0.00709166],[-0.0924129],[156.21483612]
goe647,10,[1.62324124],[0.00977803],[-0.08760756],[166.00910067]
goe647,15,[1.96711442],[0.01836956],[-0.06381435],[107.0855519]
goe447,-5,[0.32436314],[0.00654446],[-0.18507231],[49.56304876]
goe447,0,[0.9035439],[0.00594991],[-0.18935176],[151.85837868]
goe447,5,[1.43753974],[0.00640311],[-0.1887408],[224.50642767]
goe447,10,[1.80453466],[0.01387868],[-0.16009358],[130.02205986]
goe447,15,[1.89110237],[0.04680023],[-0.11635173],[40.40796804]
du8608418,-5,[-0.44758203],[0.00709711],[-0.01662604],[-63.06535532]
du8608418,0,[0.12269227],[0.00373483],[-0.02138557],[32.85081651]
du8608418,5,[0.67753651],[0.00693127],[-0.0243405],[97.75072397]
du8608418,10,[1.2048205],[0.01180621],[-0.02286093],[102.04968588]
du8608418,15,[1.6355392],[0.02348543],[-0.01313151],[69.64059273]
goe506,-5,[0.04088924],[0.00665012],[-0.11866955],[6.14865008]
goe506,0,[0.45429058],[0.00699555],[-0.08858422],[64.93992351]
goe506,5,[0.94088837],[0.00742673],[-0.07628172],[126.68950516]
goe506,10,[1.45080276],[0.01193259],[-0.07703369],[121.58326073]
goe506,15,[1.62458876],[0.03194942],[-0.03670704],[50.84877392]
e297,-5,[-0.54606389],[0.00705437],[0.00068375],[-77.40785038]
e297,0,[-0.00093615],[0.00355407],[0.00020739],[-0.26340205]
e297,5,[0.54394087],[0.00706881],[-0.00019075],[76.94942072]
e297,10,[1.06138089],[0.01199862],[0.00269282],[88.45857169]
e297,15,[1.41981087],[0.02499251],[0.0225815],[56.80944797]
c141b,-5,[-0.35276921],[0.00609856],[-0.04781141],[-57.8446587]
c141b,0,[0.17457773],[0.00409514],[-0.04331885],[42.63042285]
c141b,5,[0.67102384],[0.00724381],[-0.03226301],[92.63407917]
c141b,10,[1.19953856],[0.01100604],[-0.02869547],[108.98911019]
c141b,15,[1.5787073],[0.01792462],[-0.00263842],[88.07480021]
eh2010,-5,[-0.46110542],[0.00743873],[-0.00210382],[-61.98714756]
eh2010,0,[0.09283548],[0.00533381],[-0.0005494],[17.40510124]
eh2010,5,[0.64029829],[0.00507964],[0.00271897],[126.05189176]
eh2010,10,[1.18953554],[0.01098143],[-0.00223951],[108.32249343]
eh2010,15,[1.56616099],[0.02110259],[0.0174865],[74.21653969]
e228,-5,[-0.57458019],[0.00690298],[0.00907514],[-83.23653032]
e228,0,[-0.02776956],[0.00463664],[0.01171483],[-5.9891545]
e228,5,[0.51447366],[0.00593533],[0.01484561],[86.67984293]
e228,10,[1.10000135],[0.01089665],[0.00502909],[100.94860453]
e228,15,[1.49218398],[0.02022975],[0.02613491],[73.7618706]
psu94097,-5,[-0.0844383],[0.00687684],[-0.10268323],[-12.27864823]
psu94097,0,[0.50759396],[0.00475405],[-0.11070961],[106.77091625]
psu94097,5,[1.06540669],[0.00679446],[-0.11358619],[156.80512832]
psu94097,10,[1.55942706],[0.01419153],[-0.10723992],[109.88434604]
psu94097,15,[1.80862224],[0.03280211],[-0.07274642],[55.13737649]
ag16,-5,[-0.32725086],[0.00602418],[-0.05207819],[-54.32290863]
ag16,0,[0.23616837],[0.00497561],[-0.05150998],[47.46520488]
ag16,5,[0.78338332],[0.00655652],[-0.04902897],[119.48166274]
ag16,10,[1.32169194],[0.01210682],[-0.04687084],[109.1691915]
ag16,15,[1.76054653],[0.02397155],[-0.03516063],[73.44316655]
goe735,-5,[-0.30916426],[0.0076143],[-0.01353347],[-40.60312476]
goe735,0,[0.25492467],[0.00703671],[-0.00959334],[36.22781878]
goe735,5,[0.76318474],[0.00600864],[0.00226856],[127.01450443]
goe735,10,[1.44428036],[0.00906958],[-0.030339],[159.24440211]
goe735,15,[1.78613706],[0.01882491],[-0.01333981],[94.88156951]
e379,-5,[-0.15479257],[0.07271541],[-0.01205566],[-2.12874508]
e379,0,[0.44219288],[0.02486629],[-0.07714498],[17.78282382]
e379,5,[1.09319795],[0.00678544],[-0.07911417],[161.10948503]
e379,10,[1.52191115],[0.0240638],[-0.07109955],[63.24483287]
e379,15,[1.31165496],[0.14013594],[-0.09609208],[9.35987569]
n5h20,-5,[-0.32987139],[0.00844067],[0.00124844],[-39.08116207]
n5h20,0,[0.23025684],[0.00660102],[-0.00370238],[34.88198864]
n5h20,5,[0.79643069],[0.00485238],[-0.00982679],[164.1319587]
n5h20,10,[1.24023505],[0.01722251],[-0.02220729],[72.01242726]
n5h20,15,[1.41018223],[0.04635879],[-0.00567141],[30.41887214]
goe116,-5,[-0.14347137],[0.00828923],[-0.09217371],[-17.30816102]
goe116,0,[0.43210382],[0.00522127],[-0.09626994],[82.75839468]
goe116,5,[0.96149084],[0.00874462],[-0.09600801],[109.95227981]
goe116,10,[1.44035469],[0.01507699],[-0.08790744],[95.53331254]
goe116,15,[1.59663642],[0.04099549],[-0.05062792],[38.94663341]
hq309,-5,[-0.13926587],[0.00639408],[-0.09082144],[-21.78045497]
hq309,0,[0.4172655],[0.00411329],[-0.09135618],[101.44321242]
hq309,5,[0.95264473],[0.00695273],[-0.08839072],[137.0173925]
hq309,10,[1.44215662],[0.01319251],[-0.07965032],[109.31634728]
hq309,15,[1.71594137],[0.02891423],[-0.04414282],[59.34590582]
e61,-5,[0.4345199],[0.00602701],[-0.23635655],[72.09548322]
e61,0,[0.97598697],[0.00453587],[-0.23553079],[215.17091763]
e61,5,[1.45833862],[0.00969813],[-0.22278651],[150.37318239]
e61,10,[1.85532321],[0.01861642],[-0.19480715],[99.66057791]
e61,15,[1.98217473],[0.04645427],[-0.13797189],[42.66937598]
a63a108c,-5,[-0.59355988],[0.00724096],[0.00755641],[-81.97250582]
a63a108c,0,[-0.00663248],[0.0067133],[0.002814],[-0.9879611]
a63a108c,5,[0.5754048],[0.0066793],[-0.00195905],[86.14743273]
a63a108c,10,[1.14137492],[0.01023212],[-0.00438406],[111.54818599]
a63a108c,15,[1.66894983],[0.01750384],[-0.0037852],[95.34766483]
lwk80120k25,-5,[-0.55506801],[0.00701789],[0.00273648],[-79.09326657]
lwk80120k25,0,[1.11022302e-16],[0.00348682],[0.],[3.18405182e-14]
lwk80120k25,5,[0.55506801],[0.00701789],[-0.00273648],[79.09326657]
lwk80120k25,10,[1.09521393],[0.01118189],[-0.00332981],[97.94535111]
lwk80120k25,15,[1.5391492],[0.01906631],[0.00751332],[80.7261184]
s4233,-5,[-0.20047549],[0.00678811],[-0.07160705],[-29.53332149]
s4233,0,[0.37342765],[0.00465493],[-0.07598489],[80.22189426]
s4233,5,[0.93647297],[0.00584097],[-0.07886321],[160.32820875]
s4233,10,[1.38476986],[0.01316947],[-0.06534321],[105.14997841]
s4233,15,[1.6464793],[0.0298003],[-0.03977862],[55.25043316]
hq359,-5,[-0.07097898],[0.00656918],[-0.10534491],[-10.80484304]
hq359,0,[0.48498742],[0.00430073],[-0.10605923],[112.76851285]
hq359,5,[1.0201439],[0.00687805],[-0.10335762],[148.31874229]
hq359,10,[1.49425611],[0.01396251],[-0.09215258],[107.01912589]
hq359,15,[1.71925998],[0.03281839],[-0.05211427],[52.38709535]
rg12a189,-5,[-0.26103585],[0.0061417],[-0.06309635],[-42.50219687]
rg12a189,0,[0.27165203],[0.00418332],[-0.05850022],[64.9369271]
rg12a189,5,[0.80574345],[0.00724386],[-0.05462509],[111.23118611]
rg12a189,10,[1.30760673],[0.0127331],[-0.04669384],[102.69350218]
rg12a189,15,[1.61193611],[0.02811175],[-0.01391246],[57.34030627]
ah93k132,-5,[-0.29246345],[0.00722892],[-0.03427194],[-40.45739301]
ah93k132,0,[0.24409006],[0.00437768],[-0.03219904],[55.75786097]
ah93k132,5,[0.7254902],[0.00540835],[-0.02130417],[134.14255095]
ah93k132,10,[1.17078452],[0.01566139],[-0.021207],[74.75610517]
ah93k132,15,[1.48525895],[0.02871257],[-0.00353014],[51.72853502]
s9033,-5,[-0.55889721],[0.00596991],[-0.00245494],[-93.61904821]
s9033,0,[3.33066907e-16],[0.00522886],[-4.4408921e-17],[6.3697834e-14]
s9033,5,[0.55889721],[0.00596991],[0.00245494],[93.61904821]
s9033,10,[1.09372731],[0.01050366],[0.00737448],[104.12823151]
s9033,15,[1.56286011],[0.02032631],[0.01727491],[76.88854872]
usa31,-5,[0.3238667],[0.00731339],[-0.17678561],[44.28410244]
usa31,0,[0.77854213],[0.00734432],[-0.15131578],[106.00595047]
usa31,5,[1.19460993],[0.00957017],[-0.12547044],[124.8263578]
usa31,10,[1.55303647],[0.01571553],[-0.09558597],[98.82176821]
usa31,15,[1.83292881],[0.03141964],[-0.07003384],[58.33703306]
goe407,-5,[-0.08076714],[0.00688141],[-0.0885037],[-11.73700557]
goe407,0,[0.4319155],[0.00612661],[-0.07621257],[70.4983427]
goe407,5,[1.09804749],[0.00662847],[-0.09982577],[165.65623199]
goe407,10,[1.5444011],[0.01146261],[-0.08191961],[134.73377591]
goe407,15,[1.76197508],[0.02225577],[-0.03210985],[79.16937746]
e331,-5,[-0.46286149],[0.00866338],[0.01692214],[-53.42735062]
e331,0,[0.06565185],[0.00638173],[0.02267307],[10.28746266]
e331,5,[0.59699933],[0.00496666],[0.02923331],[120.20140855]
e331,10,[1.07203541],[0.01093402],[0.03794945],[98.04583817]
e331,15,[1.39533068],[0.02925381],[0.04510258],[47.69740415]
goe329,-5,[0.01605595],[0.0075085],[-0.10887776],[2.13836976]
goe329,0,[0.60132693],[0.00705584],[-0.11452213],[85.22398043]
goe329,5,[1.1707976],[0.00638118],[-0.11944708],[183.47661843]
goe329,10,[1.65907511],[0.01385301],[-0.1134084],[119.76277656]
goe329,15,[1.91892395],[0.0300405],[-0.0814542],[63.87789006]
fx74130wp1,-5,[-0.01912177],[0.00648014],[-0.11956217],[-2.95082748]
fx74130wp1,0,[0.55310056],[0.00342274],[-0.12817527],[161.59572075]
fx74130wp1,5,[1.02318962],[0.00805814],[-0.11640637],[126.97594738]
fx74130wp1,10,[1.36886754],[0.01622252],[-0.0867257],[84.38068579]
fx74130wp1,15,[1.65699613],[0.03169821],[-0.06266665],[52.27412522]
eiffel371,-5,[-0.19413045],[0.00792134],[-0.05325461],[-24.50727024]
eiffel371,0,[0.27941342],[0.00578993],[-0.03541736],[48.25847986]
eiffel371,5,[0.75184455],[0.00676992],[-0.01714514],[111.05665078]
eiffel371,10,[1.21464496],[0.00991777],[-0.00275346],[122.47154103]
eiffel371,15,[1.53138475],[0.02758955],[0.00588319],[55.5059753]
hq07,-5,[-0.54796467],[0.00648146],[-0.00100846],[-84.54336333]
hq07,0,[3.33066907e-16],[0.00362013],[-1.11022302e-17],[9.20040097e-14]
hq07,5,[0.54796467],[0.00648146],[0.00100846],[84.54336333]
hq07,10,[1.06498059],[0.01447528],[0.00420201],[73.57238095]
hq07,15,[1.09108984],[0.09849494],[-0.01902347],[11.07762269]
mb253515sm,-5,[-0.30414805],[0.00732324],[-0.04199376],[-41.5318695]
mb253515sm,0,[0.23428379],[0.00446759],[-0.04119243],[52.44071819]
mb253515sm,5,[0.78172261],[0.0056082],[-0.04236218],[139.38929997]
mb253515sm,10,[1.24561945],[0.01244648],[-0.03326064],[100.07801393]
mb253515sm,15,[1.50585714],[0.0274378],[-0.00654664],[54.88257198]
goe63,-5,[0.11214078],[0.00797248],[-0.12522689],[14.06598503]
goe63,0,[0.69529294],[0.00668371],[-0.12751892],[104.02803218]
goe63,5,[1.26630782],[0.00798813],[-0.13024793],[158.5236683]
goe63,10,[1.7996838],[0.01152078],[-0.12799562],[156.21202375]
goe63,15,[2.14734585],[0.02188106],[-0.10163],[98.13720187]
k2,-5,[-0.41600435],[0.00640888],[-0.07032617],[-64.91060223]
k2,0,[0.16330163],[0.00660333],[-0.07626892],[24.73019468]
k2,5,[0.77083679],[0.0077039],[-0.08695866],[100.05796159]
k2,10,[1.31943131],[0.0115975],[-0.08384168],[113.76857266]
k2,15,[1.80140053],[0.01874473],[-0.07028953],[96.10170676]
goe417a,-5,[0.05176031],[0.04796105],[-0.09865398],[1.07921555]
goe417a,0,[0.52199618],[0.00559238],[-0.10445843],[93.34065908]
goe417a,5,[1.00472717],[0.00801159],[-0.09042685],[125.40916621]
goe417a,10,[1.51986295],[0.0122163],[-0.08625731],[124.41267114]
goe417a,15,[1.814239],[0.02276941],[-0.04627507],[79.67878183]
m25,-5,[-0.16041712],[0.07306482],[-0.00955926],[-2.19554535]
m25,0,[0.424919],[0.00700518],[-0.04094278],[60.65779042]
m25,5,[1.00080942],[0.00628627],[-0.04722401],[159.20573034]
m25,10,[1.52997147],[0.01564152],[-0.05933779],[97.81475925]
m25,15,[1.54914658],[0.06500878],[-0.05181685],[23.82980658]
e392,-5,[-0.09987116],[0.0083886],[-0.09815486],[-11.9055825]
e392,0,[0.4713647],[0.00479934],[-0.10124772],[98.21447136]
e392,5,[1.00457692],[0.00770166],[-0.09862364],[130.43638092]
e392,10,[1.48096777],[0.01518304],[-0.08862521],[97.54091845]
e392,15,[1.59268551],[0.04934891],[-0.05510636],[32.27397297]
rhodesg34,-5,[0.15152636],[0.00714614],[-0.09166725],[21.20395948]
rhodesg34,0,[0.70287199],[0.00694959],[-0.08794076],[101.13869097]
rhodesg34,5,[1.27770183],[0.00727016],[-0.09123393],[175.74599092]
rhodesg34,10,[1.62746026],[0.01397266],[-0.05767339],[116.47461427]
rhodesg34,15,[1.84117866],[0.03541942],[-0.03203635],[51.98217562]
e559,-5,[0.03736755],[0.00599852],[-0.14114885],[6.22945765]
e559,0,[0.61227573],[0.00597628],[-0.14131362],[102.45092514]
e559,5,[1.17138643],[0.00716311],[-0.14015141],[163.53044271]
e559,10,[1.62212584],[0.01182323],[-0.12121695],[137.19819454]
e559,15,[1.84627153],[0.02717095],[-0.07846245],[67.95020105]
goe477,-5,[0.02802558],[0.00607965],[-0.12002465],[4.60973853]
goe477,0,[0.55479389],[0.00628652],[-0.11266972],[88.25136213]
goe477,5,[1.08802843],[0.0066822],[-0.1096233],[162.82493198]
goe477,10,[1.47681049],[0.0134],[-0.08140682],[110.20975775]
goe477,15,[1.72376068],[0.02954301],[-0.04875315],[58.34748818]
naca643618,-5,[-0.06029637],[0.00691826],[-0.1088724],[-8.71554339]
naca643618,0,[0.55655997],[0.00485159],[-0.1238097],[114.71702731]
naca643618,5,[1.09562186],[0.00951077],[-0.12516927],[115.19796196]
naca643618,10,[1.49707369],[0.0180303],[-0.10578888],[83.03100927]
naca643618,15,[1.70271416],[0.04690593],[-0.08784128],[36.30061619]
marske2,-5,[-0.44520168],[0.0081198],[0.01396606],[-54.82915589]
marske2,0,[0.09240626],[0.00686354],[0.0211465],[13.46334556]
marske2,5,[0.62695974],[0.00570411],[0.02893561],[109.91366533]
marske2,10,[1.11627467],[0.01146076],[0.0373143],[97.39972985]
