Airfoil,Alpha,CL,CD,CM,CL/CD
goe431,-5,[0.3448017],[0.00597091],[-0.20834507],[57.7469578]
goe431,0,[0.86186211],[0.00689997],[-0.19919173],[124.90815588]
goe431,5,[1.37342855],[0.00828967],[-0.18930326],[165.67943193]
goe431,10,[1.73306885],[0.01647915],[-0.15794299],[105.16736477]
goe431,15,[1.92887194],[0.0363087],[-0.11769554],[53.12423313]
supermarine371i,-5,[-0.43992811],[0.00695702],[-0.02189826],[-63.23516644]
supermarine371i,0,[0.09730482],[0.00361865],[-0.0206001],[26.88980539]
supermarine371i,5,[0.62189142],[0.00720845],[-0.01724786],[86.27250674]
supermarine371i,10,[1.10618839],[0.01117718],[-0.00757234],[98.96843549]
supermarine371i,15,[1.50182878],[0.02041648],[0.0065456],[73.55963009]
goe420,-5,[-0.049829],[0.00695246],[-0.11298557],[-7.16710434]
goe420,0,[0.50983804],[0.00604605],[-0.11234987],[84.32584146]
goe420,5,[1.05633432],[0.00698715],[-0.10929218],[151.18247919]
goe420,10,[1.46919793],[0.0112971],[-0.08505632],[130.05085439]
goe420,15,[1.7325664],[0.02716495],[-0.05725729],[63.77949213]
e1213,-5,[-0.40561547],[0.00662852],[-0.02519055],[-61.19247336]
e1213,0,[0.17574607],[0.0065548],[-0.02204036],[26.81181342]
e1213,5,[0.74819496],[0.0071933],[-0.0190661],[104.01273153]
e1213,10,[1.33853061],[0.00856054],[-0.02450349],[156.36059435]
e1213,15,[1.78670802],[0.01365829],[-0.00788649],[130.81494508]
hq17,-5,[0.02622068],[0.00671946],[-0.12368292],[3.9021999]
hq17,0,[0.61142847],[0.00392489],[-0.13646449],[155.78233501]
hq17,5,[1.16793999],[0.00601603],[-0.14334919],[194.13795215]
hq17,10,[1.46096288],[0.01954165],[-0.1100148],[74.76150021]
hq17,15,[1.71471873],[0.03962709],[-0.08669489],[43.27137536]
avistar,-5,[-0.38774628],[0.00725393],[-0.03190644],[-53.4532435]
avistar,0,[0.18662756],[0.00636287],[-0.03542217],[29.33074253]
avistar,5,[0.7363524],[0.00559329],[-0.03525235],[131.64930324]
avistar,10,[1.31013146],[0.01181852],[-0.04592475],[110.85412791]
avistar,15,[1.5982534],[0.02166741],[-0.00965571],[73.76302008]
goe532,-5,[-0.00995781],[0.00700234],[-0.10485501],[-1.42206967]
goe532,0,[0.56374319],[0.00607739],[-0.10227729],[92.76080026]
goe532,5,[1.11237539],[0.0066635],[-0.09849177],[166.93548588]
goe532,10,[1.60722389],[0.0118321],[-0.08813751],[135.83589874]
goe532,15,[1.79221099],[0.0323291],[-0.05252025],[55.4364618]
fx60100sm,-5,[-0.06194721],[0.00580265],[-0.11655764],[-10.67566742]
fx60100sm,0,[0.50991017],[0.00473279],[-0.11832118],[107.73995857]
fx60100sm,5,[1.05912131],[0.00797392],[-0.116729],[132.82310591]
fx60100sm,10,[1.57087798],[0.01300202],[-0.11011661],[120.81801632]
fx60100sm,15,[1.93186126],[0.02348792],[-0.08379194],[82.24912439]
ah79100b,-5,[0.36026724],[0.00582459],[-0.21341082],[61.85280618]
ah79100b,0,[0.94442578],[0.00500512],[-0.21954311],[188.69191116]
ah79100b,5,[1.47879717],[0.00816616],[-0.21806701],[181.0883951]
ah79100b,10,[1.86625677],[0.01701922],[-0.19063056],[109.65585823]
ah79100b,15,[2.07801383],[0.03760782],[-0.15073873],[55.25483838]
mh62,-5,[-0.47641558],[0.00715411],[-0.00651477],[-66.59323077]
mh62,0,[0.08690211],[0.00487145],[-0.00587809],[17.83906708]
mh62,5,[0.67422018],[0.00547691],[-0.01201425],[123.10227091]
mh62,10,[1.19687499],[0.01091415],[-0.00923802],[109.66265278]
mh62,15,[1.62388025],[0.02072624],[0.00240528],[78.34900577]
ag37,-5,[-0.18140637],[0.00604218],[-0.0455239],[-30.02333636]
ag37,0,[0.38392366],[0.00466428],[-0.04694395],[82.31147773]
ag37,5,[0.92820657],[0.00747028],[-0.04506205],[124.25322052]
ag37,10,[1.45374485],[0.01311838],[-0.04211373],[110.8174422]
ag37,15,[1.83400685],[0.02491705],[-0.02174953],[73.60449448]
e339,-5,[-0.20271956],[0.00826443],[-0.04270111],[-24.52916351]
e339,0,[0.34252618],[0.00701307],[-0.0394853],[48.84108501]
e339,5,[0.88389759],[0.00571522],[-0.03759394],[154.65670803]
e339,10,[1.37908488],[0.00976221],[-0.03043113],[141.26775594]
e339,15,[1.57701009],[0.02873314],[0.00400946],[54.88470776]
glennmartin3,-5,[-0.10293438],[0.00723482],[-0.0690869],[-14.2276334]
glennmartin3,0,[0.3258737],[0.00839386],[-0.03954621],[38.82286966]
glennmartin3,5,[0.99333799],[0.01072611],[-0.06836441],[92.60933918]
glennmartin3,10,[1.45646448],[0.01508622],[-0.05611975],[96.5427006]
glennmartin3,15,[1.60037733],[0.03109301],[-0.0041978],[51.4706443]
hq159,-5,[-0.3443359],[0.006388],[-0.04597342],[-53.90354602]
hq159,0,[0.20748864],[0.0039444],[-0.04532777],[52.60340262]
hq159,5,[0.74739976],[0.0069765],[-0.04271956],[107.13101813]
hq159,10,[1.26303888],[0.01163396],[-0.03810489],[108.56485702]
hq159,15,[1.67320618],[0.0213577],[-0.02092426],[78.34206308]
goe400,-5,[-0.14368725],[0.00671147],[-0.0807738],[-21.40920384]
goe400,0,[0.42574521],[0.00543683],[-0.0787428],[78.30759516]
goe400,5,[0.97758366],[0.00586113],[-0.07657095],[166.79098483]
goe400,10,[1.49293789],[0.01193425],[-0.07222566],[125.09692125]
goe400,15,[1.90196999],[0.02183641],[-0.05610009],[87.10085754]
fg1,-5,[-0.10300447],[0.00590811],[-0.08030394],[-17.43441786]
fg1,0,[0.40496652],[0.0062443],[-0.06882439],[64.85380644]
fg1,5,[1.01513854],[0.00743882],[-0.08204643],[136.46493481]
fg1,10,[1.44871175],[0.01207545],[-0.058889],[119.97168276]
fg1,15,[1.74437536],[0.02163687],[-0.01849805],[80.62048874]
goe369,-5,[-0.06352538],[0.05719073],[-0.06094054],[-1.11076349]
goe369,0,[0.51918509],[0.00769367],[-0.08460468],[67.48209427]
goe369,5,[1.0496199],[0.00704997],[-0.08042932],[148.8828304]
goe369,10,[1.49825479],[0.01698582],[-0.06630524],[88.20621949]
goe369,15,[1.42389105],[0.08118188],[-0.05176679],[17.53951804]
vr1,-5,[-0.37729262],[0.00654537],[-0.03572994],[-57.64270303]
vr1,0,[0.18406568],[0.00438248],[-0.03673435],[42.00032174]
vr1,5,[0.71537723],[0.00704462],[-0.0334602],[101.54948395]
vr1,10,[1.24756172],[0.01083648],[-0.03108759],[115.1260815]
vr1,15,[1.68694295],[0.0176935],[-0.01702081],[95.34253411]
goe405,-5,[0.1537445],[0.00654859],[-0.14567921],[23.47748086]
goe405,0,[0.7017829],[0.00583065],[-0.143073],[120.36104858]
goe405,5,[1.22599565],[0.00655342],[-0.13891274],[187.0773537]
goe405,10,[1.55383418],[0.01545464],[-0.10356661],[100.54158653]
goe405,15,[1.78897371],[0.0342745],[-0.0754781],[52.19547646]
goe426,-5,[-0.0666991],[0.00699195],[-0.09988587],[-9.53941009]
goe426,0,[0.50849822],[0.00614475],[-0.10182823],[82.75329841]
goe426,5,[1.07417822],[0.0055757],[-0.10398142],[192.65365187]
goe426,10,[1.53148347],[0.01241745],[-0.09055173],[123.33316216]
goe426,15,[1.75461497],[0.03048355],[-0.05865385],[57.5593973]
goe285,-5,[-0.18920746],[0.00654425],[-0.07223339],[-28.91200568]
goe285,0,[0.38358592],[0.00656178],[-0.07250701],[58.45758507]
goe285,5,[0.94960667],[0.00605453],[-0.07292562],[156.84241001]
goe285,10,[1.44735257],[0.01168331],[-0.06481222],[123.88205075]
goe285,15,[1.82451348],[0.02030636],[-0.04142219],[89.84936622]
goe177,-5,[-0.06537025],[0.00761052],[-0.0954807],[-8.5894599]
goe177,0,[0.50639888],[0.00588364],[-0.0970542],[86.06901957]
goe177,5,[1.05673238],[0.00583937],[-0.09667619],[180.96669502]
goe177,10,[1.56215047],[0.01308407],[-0.09266561],[119.39331916]
goe177,15,[1.8432427],[0.02988841],[-0.0611599],[61.67082803]
rg15,-5,[-0.26475253],[0.00585062],[-0.06630315],[-45.2520663]
rg15,0,[0.27516543],[0.00435785],[-0.06292099],[63.14251917]
rg15,5,[0.81283209],[0.006967],[-0.05933531],[116.66891858]
rg15,10,[1.32228534],[0.01200239],[-0.05254474],[110.16852907]
rg15,15,[1.70478844],[0.02238221],[-0.02944352],[76.16710463]
goe693,-5,[-0.19496115],[0.00660185],[-0.08063038],[-29.53129897]
goe693,0,[0.38933303],[0.0055198],[-0.08522713],[70.53389944]
goe693,5,[0.95289746],[0.00642418],[-0.08803672],[148.32987051]
goe693,10,[1.4282109],[0.01216897],[-0.07574966],[117.36495765]
goe693,15,[1.75778426],[0.02295531],[-0.04720481],[76.57419065]
clarkv,-5,[-0.10464939],[0.00588117],[-0.10291118],[-17.79398737]
clarkv,0,[0.44374923],[0.00483834],[-0.10146687],[91.71513812]
clarkv,5,[0.96878446],[0.0068041],[-0.09636393],[142.382465]
clarkv,10,[1.41096974],[0.01253132],[-0.07712141],[112.59541911]
clarkv,15,[1.74565164],[0.02281822],[-0.04944718],[76.50252646]
goe744,-5,[-0.2454436],[0.00827951],[-0.00985021],[-29.64468514]
goe744,0,[0.34465935],[0.00692583],[-0.00830166],[49.76431099]
goe744,5,[0.92708434],[0.00703959],[-0.01055412],[131.69569554]
goe744,10,[1.54846235],[0.00837544],[-0.02811738],[184.88137362]
goe744,15,[1.96065253],[0.01993557],[-0.03142102],[98.34946971]
hq108,-5,[-0.4108785],[0.00643639],[-0.0315268],[-63.8367811]
hq108,0,[0.13885413],[0.00380122],[-0.03067812],[36.5287955]
hq108,5,[0.68086187],[0.00681098],[-0.028449],[99.96539062]
hq108,10,[1.19761178],[0.01224694],[-0.02423531],[97.78864417]
hq108,15,[1.59223269],[0.02545623],[-0.00785049],[62.54787086]
n9,-5,[-0.11204229],[0.00593118],[-0.06231725],[-18.89038601]
n9,0,[0.45348769],[0.00486115],[-0.06391966],[93.28812445]
n9,5,[0.99178193],[0.00768329],[-0.06115985],[129.08301748]
